table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
CHILD_PROGRESS,RECORDED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_PROGRESS,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_PROGRESS,TAKEN_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_PROGRESS,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CHILD_PROGRESS,ACTUAL_VALUE,,,NO,float,"float(8,2)",,,
CHILD_PROGRESS,ACTUAL_MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
CHILD_PROGRESS,COMMENT,,,YES,varchar,varchar(500),,,
CHILD_SHARE_REQUEST,UUID,,,YES,char,char(36),,,
CHILD_SHARE_REQUEST,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CHILD_SHARE_REQUEST,CHILDID,MUL,,NO,int,int(10) unsigned,,,
CHILD_SHARE_REQUEST,CREATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
CHILD_SHARE_REQUEST,RELATIONSHIPID,MUL,,NO,int,int(10) unsigned,,RELATIONSHIP,ID
CHILD_SHARE_REQUEST,ID,PRI,,NO,bigint,bigint(20),auto_increment,,
CHILD_TIMELINE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_TIMELINE,CHILDID,MUL,,YES,int,int(10) unsigned,,CHILD,ID
CHILD_TIMELINE,SOURCEID,,,YES,int,int(10) unsigned,,,
CHILD_TIMELINE,ACTIVITY_TYPEID,MUL,,YES,int,int(10) unsigned,,ACTIVITY_TYPE,ID
CHILD_TIMELINE,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CHILD_TIMELINE,CREATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
CHILD_TIMELINE,UPDATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
CHILD_TIMELINE,TAKEN_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
CHILD_TIMELINE,DATA,,,NO,json,json,,,
CHILD_TIMELINE,COMMENTERS,,,NO,json,json,,,
COMMENT,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
COMMENT,COMMENT,,,YES,varchar,varchar(250),,,
COMMENT,COMMENTED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
COMMENT,ACTIVITY_TYPEID,MUL,,NO,int,int(10) unsigned,,ACTIVITY_TYPE,ID
COMMENT,SOURCEID,,,NO,int,int(10) unsigned,,,
COMMENT,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
COMMENT,CREATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
COUNTRY,NAME,PRI,,NO,varchar,varchar(45),,,
COUNTRY,CODE,UNI,,NO,varchar,varchar(3),,,
COUNTRY,PRIORITY,,100,NO,int,int(10) unsigned,,,
COUNTRY,LOCALEID,MUL,,YES,int,int(10) unsigned,,LOCALE,ID
COUNTRY,ENGLISHID,,,YES,int,int(11),,,
COUNTRY,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
COUNTRY,APPLANGA_CODE,,,YES,varchar,varchar(255),,,
CRYING,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CRYING,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
CRYING,DURATION,,,NO,varchar,varchar(255),,,
CRYING,REASON_CRYINGID,MUL,,YES,int,int(10) unsigned,,REASON_CRYING,ID
CRYING,TAKEN_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CRYING,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CRYING,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CRYING,IS_USER_DISPUTE,,0,YES,tinyint,tinyint(1),,,
CRYING,ISSYSTEM,,0,YES,tinyint,tinyint(1),,,
CRYING,DURATION_SECONDS,,,YES,int,int(10) unsigned,,,
DIAPER_STOOL,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
DIAPER_STOOL,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
DIAPER_STOOL,IMAGE_FILE,,,YES,varchar,varchar(200),,,
DIAPER_STOOL,TAKEN_AT,,,YES,timestamp,timestamp,,,
DIAPER_STOOL,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
DIAPER_STOOL,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
